basename,disposition,replacement,reason
stage6_fidelity_ladder.png,rebuild_scalar_only,matched_scalar_routes.pdf,"incompatible scalar and vector branches; scalar path now rerun on common physical source/output grids with sampling gates"
stage6_phase_masks.png,exclude,sequential_two_slm_architecture.pdf,"command phase is not propagated evidence"
stage6_slm_encoded_mask_to_output_mapping.png,exclude,sequential_two_slm_architecture.pdf,"historical diagnostic; not accepted bench"
12_polarized_train_ideal_lab_xy_xz.png,exclude,vector_analyser_atlas.pdf,"historical route"
vector_atlas_total_analyzer_panels.png,replace,vector_analyser_atlas.pdf,"regenerated from explicit Jones field"
10_discrete_continuous_to_discrete_morph.png,retain_as_control_only,,"a finite plane-wave sum is a lattice control, not a localized hollow polygon"
15_hybrid_transient_seed_lab_gate.png,requires_revalidation,,"single-plane optimisation cannot establish propagation-stable hollow outline"
16_hex_bessel_like_multiplane_survival.png,requires_revalidation,,"diagnostic-only reconciliation; recompute on matched calibrated forward model and held-out z planes"
17_zernike_hex_bessel_sweep.png,requires_revalidation,,"diagnostic-only reconciliation; sixfold brightness is not a hollow polygon"
device_realism_and_interface_depth.png,exclude,,"uncalibrated sample-plane branch"
09_capsule_teardrop_to_capsule_morph.png,exclude,,"uncalibrated material proxy"
09_capsule_rz_threshold_ideal_vs_lab.png,exclude,,"uncalibrated material proxy"
tradeoff_peak_fluence_heatmap.png,exclude,,"uncalibrated planning proxy"
